Job_ID,Job_Title,Job_Description,Skills,Experience_Level,Location,Salary_INR,Posting_Date
JOB-00040,Machine Learning Engineer,"Hiring a Machine Learning Engineer with strong expertise in Scikit-learn, Docker, Computer Vision, Deep Learning, MLOps. You will building ML pipelines and optimizing model performance and drive innovation in our technology stack.","Scikit-learn, Docker, Computer Vision, Deep Learning, MLOps",Senior (5-8 yrs),Dublin,2496000.0,2022-09-12
JOB-00041,DevOps Engineer,"Join our growing team as a DevOps Engineer. Required skills: Kubernetes, Monitoring, Git, AWS, CI/CD. This role involves monitoring and alerting and managing CI/CD pipelines and collaborating with cross-functional teams.","Kubernetes, Monitoring, Git, AWS, CI/CD",Principal (12+ yrs),Sydney,4679000.0,2020-08-09
JOB-00042,QA Engineer,"Hiring a QA Engineer with strong expertise in JIRA, Selenium, CI/CD, Performance Testing. You will bug tracking and quality assurance and drive innovation in our technology stack.","JIRA, Selenium, CI/CD, Performance Testing",Senior (5-8 yrs),Bangalore,1513000.0,2020-03-21
JOB-00043,Mobile App Developer,"Join our growing team as a Mobile App Developer. Required skills: Kotlin, Git, Firebase. This role involves app store deployment and building mobile applications and collaborating with cross-functional teams.","Kotlin, Git, Firebase",Fresher (0-1 yrs),Austin,346000.0,2018-11-22
JOB-00044,Database Administrator,"Join our growing team as a Database Administrator. Required skills: Python, Backup Recovery, Linux, Oracle. This role involves database management and data migration and collaborating with cross-functional teams.","Python, Backup Recovery, Linux, Oracle",Mid (3-5 yrs),Hyderabad,1255000.0,2020-10-14
JOB-00045,QA Engineer,"Hiring a QA Engineer with strong expertise in Java, Selenium, API Testing. You will bug tracking and performance testing and drive innovation in our technology stack.","Java, Selenium, API Testing",Mid (3-5 yrs),Kochi,826000.0,2022-10-16
JOB-00046,Systems Administrator,"We are looking for a skilled Systems Administrator to join our team. The ideal candidate should have experience with Bash, VMware, Windows Server, PowerShell, Security, Active Directory, Networking, Linux. You will be responsible for system monitoring and network administration.","Bash, VMware, Windows Server, PowerShell, Security, Active Directory, Networking, Linux",Mid (3-5 yrs),Austin,1276000.0,2018-03-26
JOB-00047,Data Engineer,"Exciting opportunity for a Data Engineer! Must be proficient in Data Warehousing, Kafka, Docker, SQL, Python, Hadoop, Airflow. Key responsibilities include building data pipelines and ETL processes.","Data Warehousing, Kafka, Docker, SQL, Python, Hadoop, Airflow",Fresher (0-1 yrs),Austin,369000.0,2021-05-01
JOB-00048,Blockchain Developer,"Hiring a Blockchain Developer with strong expertise in DeFi, Web3, Smart Contracts, Node.js, JavaScript, Rust, Solidity, Ethereum. You will blockchain architecture and DApp building and drive innovation in our technology stack.","DeFi, Web3, Smart Contracts, Node.js, JavaScript, Rust, Solidity, Ethereum",Principal (12+ yrs),Delhi NCR,3709000.0,2021-06-11
JOB-00049,QA Engineer,"We are looking for a skilled QA Engineer to join our team. The ideal candidate should have experience with Manual Testing, Python, Agile. You will be responsible for performance testing and quality assurance.","Manual Testing, Python, Agile",Senior (5-8 yrs),Bangalore,2351000.0,2020-02-25
JOB-00050,Site Reliability Engineer,"Join our growing team as a Site Reliability Engineer. Required skills: AWS, Python, CI/CD. This role involves incident management and capacity planning and collaborating with cross-functional teams.","AWS, Python, CI/CD",Principal (12+ yrs),Bangalore,,2019-05-15
JOB-00051,Cloud Architect,"Join our growing team as a Cloud Architect. Required skills: Networking, Azure, GCP. This role involves migration planning and cost optimization and collaborating with cross-functional teams.","Networking, Azure, GCP",Lead (8-12 yrs),Berlin,3329000.0,2022-12-10
JOB-00052,Database Administrator,"Hiring a Database Administrator with strong expertise in MySQL, PostgreSQL, MongoDB, Backup Recovery, Oracle, Data Modeling, Linux. You will data migration and database management and drive innovation in our technology stack.","MySQL, PostgreSQL, MongoDB, Backup Recovery, Oracle, Data Modeling, Linux",Mid (3-5 yrs),Austin,1470000.0,2024-05-24
JOB-00053,QA Engineer,"Join our growing team as a QA Engineer. Required skills: Manual Testing, Agile, Test Automation, CI/CD, Python, JIRA. This role involves performance testing and bug tracking and collaborating with cross-functional teams.","Manual Testing, Agile, Test Automation, CI/CD, Python, JIRA",Mid (3-5 yrs),London,1396000.0,2021-07-02
JOB-00054,Systems Administrator,"Exciting opportunity for a Systems Administrator! Must be proficient in Windows Server, Security, DNS, PowerShell, Bash. Key responsibilities include security patching and network administration.","Windows Server, Security, DNS, PowerShell, Bash",Principal (12+ yrs),Mumbai,5440000.0,2018-03-14
JOB-00055,AI Engineer,"Join our growing team as a AI Engineer. Required skills: LangChain, Machine Learning, Computer Vision, OpenAI, Python, NLP, Docker, TensorFlow. This role involves developing AI solutions and training deep learning models and collaborating with cross-functional teams.","LangChain, Machine Learning, Computer Vision, OpenAI, Python, NLP, Docker, TensorFlow",Principal (12+ yrs),Pune,3681000.0,2023-05-08
JOB-00056,Data Analyst,"Join our growing team as a Data Analyst. Required skills: Statistics, Google Analytics, Data Visualization, Excel, Pandas. This role involves data quality assurance and creating dashboards and collaborating with cross-functional teams.","Statistics, Google Analytics, Data Visualization, Excel, Pandas",Junior (1-3 yrs),Mumbai,585000.0,2022-10-22
JOB-00057,Data Engineer,"Exciting opportunity for a Data Engineer! Must be proficient in ETL, Docker, Python, Kafka, Scala, Airflow. Key responsibilities include data quality management and ETL processes.","ETL, Docker, Python, Kafka, Scala, Airflow",Mid (3-5 yrs),Kochi,1590000.0,2022-02-15
JOB-00058,Mobile App Developer,"We need an experienced Mobile App Developer who can work with Flutter, Git, REST API. The role focuses on app store deployment and building mobile applications and delivering high-quality solutions.","Flutter, Git, REST API",Fresher (0-1 yrs),London,593000.0,2022-12-10
JOB-00059,Database Administrator,"We are looking for a skilled Database Administrator to join our team. The ideal candidate should have experience with Linux, MongoDB, Oracle, Python, MySQL, PostgreSQL, Backup Recovery, Database Tuning. You will be responsible for database management and backup and recovery.","Linux, MongoDB, Oracle, Python, MySQL, PostgreSQL, Backup Recovery, Database Tuning",Principal (12+ yrs),Chennai,4862000.0,2020-12-25
JOB-00060,Backend Developer,"Exciting opportunity for a Backend Developer! Must be proficient in REST API, Microservices, Docker. Key responsibilities include database optimization and designing scalable backend systems.","REST API, Microservices, Docker",Lead (8-12 yrs),San Francisco,3602000.0,2019-03-26
JOB-00061,Software Engineer,"We are looking for a skilled Software Engineer to join our team. The ideal candidate should have experience with Git, Python, REST API, Algorithms, C++, Docker, Agile, JavaScript. You will be responsible for code reviews and technical documentation.","Git, Python, REST API, Algorithms, C++, Docker, Agile, JavaScript",Fresher (0-1 yrs),Bangalore,537000.0,2025-09-12
JOB-00062,Systems Administrator,"Exciting opportunity for a Systems Administrator! Must be proficient in Active Directory, Windows Server, Bash, Security, Linux, PowerShell. Key responsibilities include security patching and system monitoring.","Active Directory, Windows Server, Bash, Security, Linux, PowerShell",Lead (8-12 yrs),Mumbai,2554000.0,2024-09-11
JOB-00063,Data Analyst,"Join our growing team as a Data Analyst. Required skills: Pandas, Excel, R, Google Analytics, Power BI. This role involves data quality assurance and creating dashboards and collaborating with cross-functional teams.","Pandas, Excel, R, Google Analytics, Power BI",Principal (12+ yrs),Dublin,5399000.0,2019-08-12
JOB-00064,Database Administrator,"Exciting opportunity for a Database Administrator! Must be proficient in MongoDB, SQL, Database Tuning, PostgreSQL, Oracle, Linux. Key responsibilities include database management and performance tuning.","MongoDB, SQL, Database Tuning, PostgreSQL, Oracle, Linux",Principal (12+ yrs),San Francisco,4235000.0,2025-06-04
JOB-00065,Site Reliability Engineer,"We need an experienced Site Reliability Engineer who can work with Bash, AWS, Terraform. The role focuses on incident management and ensuring system reliability and delivering high-quality solutions.","Bash, AWS, Terraform",Mid (3-5 yrs),Chennai,995000.0,2025-01-26
JOB-00066,AI Engineer,"Exciting opportunity for a AI Engineer! Must be proficient in Transformers, Python, NLP, PyTorch. Key responsibilities include training deep learning models and developing AI solutions.","Transformers, Python, NLP, PyTorch",Junior (1-3 yrs),Bangalore,555000.0,2025-09-09
JOB-00067,Frontend Developer,"Join our growing team as a Frontend Developer. Required skills: JavaScript, HTML, Vue.js, Webpack, React. This role involves cross-browser compatibility and implementing design systems and collaborating with cross-functional teams.","JavaScript, HTML, Vue.js, Webpack, React",Mid (3-5 yrs),Pune,1211000.0,2023-08-15
JOB-00068,Blockchain Developer,"We need an experienced Blockchain Developer who can work with DeFi, Solidity, Node.js, JavaScript, Cryptography. The role focuses on smart contract development and DApp building and delivering high-quality solutions.","DeFi, Solidity, Node.js, JavaScript, Cryptography",Principal (12+ yrs),Mumbai,5319000.0,2021-02-16
JOB-00069,Systems Administrator,"Hiring a Systems Administrator with strong expertise in Active Directory, VMware, PowerShell, Bash, Security, DNS, Monitoring. You will network administration and security patching and drive innovation in our technology stack.","Active Directory, VMware, PowerShell, Bash, Security, DNS, Monitoring",Principal (12+ yrs),Dublin,4802000.0,2019-12-04
JOB-00070,Business Intelligence Analyst,"We are looking for a skilled Business Intelligence Analyst to join our team. The ideal candidate should have experience with Tableau, Python, ETL, SQL, Statistics, Data Warehousing. You will be responsible for building BI dashboards and data modeling.","Tableau, Python, ETL, SQL, Statistics, Data Warehousing",Senior (5-8 yrs),Mumbai,1474000.0,2021-03-22
JOB-00071,Data Analyst,"We are looking for a skilled Data Analyst to join our team. The ideal candidate should have experience with R, Google Analytics, Statistics, Pandas, SQL, Tableau, Python. You will be responsible for creating dashboards and analyzing business metrics.","R, Google Analytics, Statistics, Pandas, SQL, Tableau, Python",Principal (12+ yrs),Kochi,3603000.0,2024-07-28
JOB-00072,Cloud Architect,"Exciting opportunity for a Cloud Architect! Must be proficient in Kubernetes, Security, Linux. Key responsibilities include designing cloud infrastructure and security architecture.",,Junior (1-3 yrs),Dublin,904000.0,2019-05-19
JOB-00073,AI Engineer,"Hiring a AI Engineer with strong expertise in Python, PyTorch, MLOps, Machine Learning, TensorFlow. You will research and prototyping and training deep learning models and drive innovation in our technology stack.","Python, PyTorch, MLOps, Machine Learning, TensorFlow",Fresher (0-1 yrs),Kolkata,524000.0,2019-11-01
JOB-00074,Systems Administrator,"We need an experienced Systems Administrator who can work with Windows Server, Linux, Networking, DNS, PowerShell, Monitoring, Active Directory. The role focuses on system monitoring and server management and delivering high-quality solutions.","Windows Server, Linux, Networking, DNS, PowerShell, Monitoring, Active Directory",Senior (5-8 yrs),Berlin,2068000.0,2020-11-14
JOB-00075,Systems Administrator,"We are looking for a skilled Systems Administrator to join our team. The ideal candidate should have experience with Monitoring, PowerShell, Linux, Windows Server, Bash, DNS. You will be responsible for system monitoring and network administration.",,Junior (1-3 yrs),Jaipur,884000.0,2018-04-10
JOB-00076,Business Intelligence Analyst,"Hiring a Business Intelligence Analyst with strong expertise in Excel, Statistics, Python, Power BI, DAX, ETL, Data Warehousing. You will business requirements analysis and report automation and drive innovation in our technology stack.","Excel, Statistics, Python, Power BI, DAX, ETL, Data Warehousing",Mid (3-5 yrs),Austin,1261000.0,2018-02-28
JOB-00077,Frontend Developer,"Join our growing team as a Frontend Developer. Required skills: Redux, Angular, React, Vue.js, REST API, Figma, CSS. This role involves optimizing web performance and cross-browser compatibility and collaborating with cross-functional teams.","Redux, Angular, React, Vue.js, REST API, Figma, CSS",Senior (5-8 yrs),New York,2358000.0,2022-09-03
JOB-00078,DevOps Engineer,"Hiring a DevOps Engineer with strong expertise in Terraform, Monitoring, Bash, AWS, CI/CD. You will infrastructure automation and monitoring and alerting and drive innovation in our technology stack.","Terraform, Monitoring, Bash, AWS, CI/CD",Junior (1-3 yrs),Mumbai,801000.0,2019-05-07
JOB-00079,Systems Administrator,"Hiring a Systems Administrator with strong expertise in DNS, Active Directory, Monitoring, Windows Server, Bash, Linux, Security, VMware. You will system monitoring and network administration and drive innovation in our technology stack.","DNS, Active Directory, Monitoring, Windows Server, Bash, Linux, Security, VMware",Fresher (0-1 yrs),Mumbai,406000.0,2023-05-19
JOB-00080,Machine Learning Engineer,"Exciting opportunity for a Machine Learning Engineer! Must be proficient in Machine Learning, AWS, Docker, Kubernetes, Python, Scikit-learn, Deep Learning. Key responsibilities include feature engineering and deploying ML models to production.","Machine Learning, AWS, Docker, Kubernetes, Python, Scikit-learn, Deep Learning",Senior (5-8 yrs),Hyderabad,1952000.0,2023-06-20
JOB-00081,Data Analyst,"Exciting opportunity for a Data Analyst! Must be proficient in Pandas, Google Analytics, Python, R. Key responsibilities include generating reports and creating dashboards.","Pandas, Google Analytics, Python, R",Senior (5-8 yrs),Seattle,2252000.0,2021-05-13
JOB-00082,Software Engineer,"We are looking for a skilled Software Engineer to join our team. The ideal candidate should have experience with Linux, Algorithms, Data Structures, C++, Git. You will be responsible for software design and code reviews.","Linux, Algorithms, Data Structures, C++, Git",Mid (3-5 yrs),London,1048000.0,2019-11-05
JOB-00083,Backend Developer,"Join our growing team as a Backend Developer. Required skills: RabbitMQ, Redis, Spring Boot, Python, Docker, REST API, Node.js, Java. This role involves API development and designing scalable backend systems and collaborating with cross-functional teams.","RabbitMQ, Redis, Spring Boot, Python, Docker, REST API, Node.js, Java",Mid (3-5 yrs),Toronto,1558000.0,2021-03-07
JOB-00084,Blockchain Developer,"Hiring a Blockchain Developer with strong expertise in Node.js, Solidity, Rust, Cryptography, Web3, Ethereum, JavaScript. You will security auditing and smart contract development and drive innovation in our technology stack.","Node.js, Solidity, Rust, Cryptography, Web3, Ethereum, JavaScript",Principal (12+ yrs),Delhi NCR,5042000.0,2019-03-27
JOB-00085,Database Administrator,"Hiring a Database Administrator with strong expertise in Linux, Oracle, Python, MySQL, Data Modeling. You will data migration and performance tuning and drive innovation in our technology stack.","Linux, Oracle, Python, MySQL, Data Modeling",Principal (12+ yrs),Singapore,5394000.0,2025-04-12
JOB-00086,DevOps Engineer,"We need an experienced DevOps Engineer who can work with AWS, Jenkins, Docker, Bash, Linux, Terraform, Kubernetes. The role focuses on monitoring and alerting and infrastructure automation and delivering high-quality solutions.","AWS, Jenkins, Docker, Bash, Linux, Terraform, Kubernetes",Fresher (0-1 yrs),Delhi NCR,386000.0,2023-09-28
JOB-00087,Cloud Architect,"Exciting opportunity for a Cloud Architect! Must be proficient in Kubernetes, AWS, Microservices, CloudFormation, Serverless, Docker. Key responsibilities include designing cloud infrastructure and security architecture.","Kubernetes, AWS, Microservices, CloudFormation, Serverless, Docker",Mid (3-5 yrs),New York,980000.0,2021-07-03
JOB-00088,Mobile App Developer,"Exciting opportunity for a Mobile App Developer! Must be proficient in React Native, Firebase, Android, Swift, iOS, Git, TypeScript, Kotlin. Key responsibilities include app store deployment and building mobile applications.","React Native, Firebase, Android, Swift, iOS, Git, TypeScript, Kotlin",Lead (8-12 yrs),Pune,3044000.0,2024-09-24
JOB-00089,Database Administrator,"Exciting opportunity for a Database Administrator! Must be proficient in PostgreSQL, Data Modeling, Linux, MongoDB, Backup Recovery, SQL. Key responsibilities include database management and backup and recovery.","PostgreSQL, Data Modeling, Linux, MongoDB, Backup Recovery, SQL",Principal (12+ yrs),Berlin,3787000.0,2023-10-08
JOB-00090,Machine Learning Engineer,"Join our growing team as a Machine Learning Engineer. Required skills: MLOps, TensorFlow, AWS, Machine Learning, Python, Scikit-learn, Docker. This role involves deploying ML models to production and optimizing model performance and collaborating with cross-functional teams.","MLOps, TensorFlow, AWS, Machine Learning, Python, Scikit-learn, Docker",Mid (3-5 yrs),San Francisco,1398000.0,2018-07-12
JOB-00091,AI Engineer,"We are looking for a skilled AI Engineer to join our team. The ideal candidate should have experience with Python, Computer Vision, LangChain, MLOps. You will be responsible for training deep learning models and developing AI solutions.","Python, Computer Vision, LangChain, MLOps",Principal (12+ yrs),Toronto,4429000.0,2024-03-27
JOB-00092,DevOps Engineer,"We are looking for a skilled DevOps Engineer to join our team. The ideal candidate should have experience with Azure, CI/CD, Docker. You will be responsible for container orchestration and infrastructure automation.","Azure, CI/CD, Docker",Senior (5-8 yrs),Dublin,2488000.0,2021-05-17
